localBodyCode,status,matched_district(s)
248034,FULL MATCH,8
248035,FULL MATCH,8
248036,FULL MATCH,621
248037,FULL MATCH,621
248038,FULL MATCH,4
248039,FULL MATCH,"4, 621"
248040,FULL MATCH,4
248041,FULL MATCH,620
248042,FULL MATCH,10
248043,FULL MATCH,"24, 25"
248044,FULL MATCH,16
248045,FULL MATCH,"24, 25"
248046,FULL MATCH,16
248047,FULL MATCH,24
248049,FULL MATCH,324
248050,AMBIGUOUS MATCH,"324, 326"
248051,AMBIGUOUS MATCH,"326, 330"
248052,AMBIGUOUS MATCH,"326, 340"
248053,FULL MATCH,340
248054,FULL MATCH,326
248055,FULL MATCH,326
248056,AMBIGUOUS MATCH,322
248057,FULL MATCH,326
248058,FULL MATCH,352
248059,FULL MATCH,352
248060,FULL MATCH,352
248061,FULL MATCH,377
248062,FULL MATCH,377
248063,FULL MATCH,"381, 643"
248064,FULL MATCH,"381, 637, 643"
248065,FULL MATCH,433
248066,FULL MATCH,638
248067,FULL MATCH,433
248068,FULL MATCH,433
248069,FULL MATCH,394
248070,FULL MATCH,394
248071,FULL MATCH,394
248072,FULL MATCH,394
248073,FULL MATCH,394
248075,FULL MATCH,415
248076,FULL MATCH,"454, 669"
248077,FULL MATCH,471
248078,FULL MATCH,471
248079,FULL MATCH,471
248080,FULL MATCH,"473, 475"
248081,FULL MATCH,475
248082,FULL MATCH,473
248083,FULL MATCH,501
248084,FULL MATCH,684
248085,FULL MATCH,680
248086,FULL MATCH,699
248087,NO MATCH,
248088,FULL MATCH,684
248089,FULL MATCH,680
248090,FULL MATCH,516
248091,FULL MATCH,516
248092,FULL MATCH,516
248093,FULL MATCH,685
248094,FULL MATCH,691
248095,FULL MATCH,513
248096,FULL MATCH,692
248097,NO MATCH,
248098,FULL MATCH,691
248099,FULL MATCH,698
248100,FULL MATCH,698
248101,NO MATCH,
248102,FULL MATCH,721
248103,FULL MATCH,695
248104,NO MATCH,
248105,NO MATCH,
248106,FULL MATCH,"509, 690"
248107,FULL MATCH,690
248108,FULL MATCH,"509, 690"
248109,FULL MATCH,690
248110,FULL MATCH,690
248111,FULL MATCH,504
248112,FULL MATCH,502
248113,NO MATCH,
248114,FULL MATCH,502
248115,AMBIGUOUS MATCH,754
248116,FULL MATCH,754
248117,FULL MATCH,502
248118,FULL MATCH,754
248119,NO MATCH,
248120,FULL MATCH,753
248121,NO MATCH,
248122,FULL MATCH,503
248123,FULL MATCH,503
248124,FULL MATCH,752
248125,FULL MATCH,503
248126,FULL MATCH,"503, 752"
248127,AMBIGUOUS MATCH,538
248128,AMBIGUOUS MATCH,"326, 328"
248129,AMBIGUOUS MATCH,"323, 326"
248130,FULL MATCH,332
248131,FULL MATCH,334
248132,AMBIGUOUS MATCH,"326, 334"
248133,AMBIGUOUS MATCH,"326, 337"
248134,FULL MATCH,324
248135,FULL MATCH,326
248136,FULL MATCH,326
248137,FULL MATCH,326
248138,FULL MATCH,326
248139,FULL MATCH,8
248140,FULL MATCH,344
248141,FULL MATCH,344
248142,FULL MATCH,344
248143,FULL MATCH,374
248145,FULL MATCH,182
248146,FULL MATCH,"3, 623"
248147,FULL MATCH,"3, 8, 623"
248148,FULL MATCH,"3, 8, 623"
248149,FULL MATCH,3
248150,FULL MATCH,"3, 623"
248151,FULL MATCH,"3, 8"
248152,FULL MATCH,3
248153,FULL MATCH,3
248154,FULL MATCH,3
248155,FULL MATCH,626
248156,AMBIGUOUS MATCH,13
248157,FULL MATCH,"2, 3"
248158,FULL MATCH,2
248159,FULL MATCH,"2, 13"
248160,FULL MATCH,2
248161,FULL MATCH,2
248162,FULL MATCH,"11, 13"
248163,FULL MATCH,11
248164,FULL MATCH,11
248165,FULL MATCH,11
248166,FULL MATCH,11
248167,FULL MATCH,625
248168,FULL MATCH,1
248169,FULL MATCH,1
248170,FULL MATCH,1
248171,AMBIGUOUS MATCH,1
248172,FULL MATCH,1
248173,FULL MATCH,1
248174,FULL MATCH,622
248175,FULL MATCH,1
248176,FULL MATCH,1
248177,FULL MATCH,"6, 9"
248178,FULL MATCH,"6, 9"
248187,FULL MATCH,12
248190,FULL MATCH,12
248191,FULL MATCH,5
248192,FULL MATCH,5
248193,FULL MATCH,5
248194,AMBIGUOUS MATCH,5
248195,FULL MATCH,5
248196,FULL MATCH,5
248197,FULL MATCH,5
248198,FULL MATCH,5
248199,FULL MATCH,624
248201,FULL MATCH,624
248202,FULL MATCH,"14, 624"
248203,FULL MATCH,624
248204,FULL MATCH,7
248210,FULL MATCH,18
248211,FULL MATCH,18
248213,FULL MATCH,18
248214,FULL MATCH,18
248216,FULL MATCH,18
248217,FULL MATCH,18
248218,FULL MATCH,20
248219,FULL MATCH,20
248220,FULL MATCH,"20, 22"
248221,FULL MATCH,"20, 22"
248222,FULL MATCH,22
248223,FULL MATCH,22
248224,FULL MATCH,22
248225,FULL MATCH,"20, 22"
248226,FULL MATCH,22
248227,FULL MATCH,17
248228,FULL MATCH,17
248229,FULL MATCH,17
248230,FULL MATCH,17
248231,FULL MATCH,26
248232,FULL MATCH,26
248233,FULL MATCH,26
248234,FULL MATCH,26
248235,FULL MATCH,26
248236,FULL MATCH,15
248237,FULL MATCH,15
248238,FULL MATCH,15
248239,FULL MATCH,15
248240,FULL MATCH,"24, 25"
248241,FULL MATCH,"24, 25"
248242,FULL MATCH,"24, 25"
248243,FULL MATCH,"24, 25"
248244,FULL MATCH,"24, 25"
248245,FULL MATCH,"20, 23"
248246,FULL MATCH,23
248247,FULL MATCH,23
248248,FULL MATCH,23
248249,FULL MATCH,23
248250,FULL MATCH,23
248251,FULL MATCH,23
248252,FULL MATCH,23
248253,FULL MATCH,23
248254,FULL MATCH,"32, 662"
248256,FULL MATCH,32
248259,FULL MATCH,"32, 662"
248260,FULL MATCH,32
248262,FULL MATCH,32
248263,FULL MATCH,32
248264,FULL MATCH,32
248265,FULL MATCH,32
248266,FULL MATCH,32
248267,FULL MATCH,32
248268,FULL MATCH,27
248269,FULL MATCH,27
248270,FULL MATCH,27
248271,FULL MATCH,"27, 609"
248272,FULL MATCH,"27, 609"
248273,FULL MATCH,27
248274,FULL MATCH,"27, 609"
248275,FULL MATCH,609
248276,FULL MATCH,"27, 609"
248277,FULL MATCH,609
248278,FULL MATCH,609
248280,FULL MATCH,35
248281,FULL MATCH,"34, 35"
248282,FULL MATCH,35
248283,FULL MATCH,35
248285,FULL MATCH,"34, 35"
248286,FULL MATCH,"34, 35"
248287,FULL MATCH,"34, 35"
248288,FULL MATCH,"34, 35"
248289,FULL MATCH,"34, 35"
248291,FULL MATCH,"34, 35"
248292,FULL MATCH,34
248293,FULL MATCH,34
248294,FULL MATCH,34
248295,FULL MATCH,34
248296,FULL MATCH,34
248298,FULL MATCH,34
248299,FULL MATCH,"34, 35"
248300,NO MATCH,
248301,NO MATCH,
248302,NO MATCH,
248303,NO MATCH,
248305,NO MATCH,
248306,NO MATCH,
248308,NO MATCH,
248309,NO MATCH,
248310,NO MATCH,
248311,NO MATCH,
248312,FULL MATCH,40
248313,FULL MATCH,40
248314,FULL MATCH,40
248315,NO MATCH,
248317,FULL MATCH,42
248319,FULL MATCH,42
248320,FULL MATCH,"42, 608"
248321,FULL MATCH,"42, 608"
248324,FULL MATCH,608
248325,AMBIGUOUS MATCH,608
248327,FULL MATCH,"30, 41"
248328,FULL MATCH,30
248329,FULL MATCH,30
248330,FULL MATCH,"30, 41"
248331,FULL MATCH,30
248332,FULL MATCH,36
248333,FULL MATCH,36
248334,FULL MATCH,36
248335,FULL MATCH,36
248336,FULL MATCH,36
248337,FULL MATCH,36
248338,FULL MATCH,36
248339,FULL MATCH,36
248340,FULL MATCH,36
248342,FULL MATCH,36
248343,FULL MATCH,36
248344,FULL MATCH,38
248345,FULL MATCH,38
248346,FULL MATCH,"31, 38"
248347,FULL MATCH,38
248348,FULL MATCH,"31, 38"
248349,FULL MATCH,"31, 38"
248350,FULL MATCH,31
248351,FULL MATCH,31
248352,FULL MATCH,"31, 651"
248353,FULL MATCH,"31, 651"
248354,FULL MATCH,651
248355,FULL MATCH,651
248356,FULL MATCH,39
248357,FULL MATCH,39
248358,FULL MATCH,"29, 39"
248359,FULL MATCH,39
248360,FULL MATCH,29
248361,FULL MATCH,29
248362,FULL MATCH,"29, 39"
248363,FULL MATCH,"28, 37"
248364,FULL MATCH,28
248366,FULL MATCH,28
248367,FULL MATCH,28
